,0
1,0.833333333
2,0.833333333
3,0.833333333
4,0.833333333
5,0.833333333
6,0.833333333
7,0.833333333
8,0.833333333
9,0.833333333
10,0.833333333
11,0.833333333
12,0.833333333
13,0.833333333
14,0.833333333
15,0.833333333
16,0.833333333
17,0.833333333
18,0.833333333
19,0.833333333
20,0.833333333
21,0.833333333
22,0.833333333
23,0.833333333
24,0.833333333
25,0.833333333
26,0.833333333
27,0.833333333
28,0.833333333
29,0.833333333
30,0.833333333
31,0.833333333
32,0.833333333
33,0.833333333
34,0.833333333
35,0.833333333
36,0.833333333
37,0.833333333
38,0.833333333
39,0.833333333
40,0.833333333
41,0.833333333
42,0.833333333
43,0.833333333
44,0.833333333
45,0.833333333
46,0.833333333
47,0.833333333
48,0.833333333
49,0.833333333
50,0.833333333
