,0
1,0.817997978
2,0.817997978
3,0.817997978
4,0.817997978
5,0.817997978
6,0.817997978
7,0.817997978
8,0.817997978
9,0.817997978
10,0.8190091
11,0.8190091
12,0.8190091
13,0.8190091
14,0.8190091
15,0.8190091
16,0.8190091
17,0.8190091
18,0.8190091
19,0.8190091
20,0.8190091
21,0.8190091
22,0.8190091
23,0.8190091
24,0.8190091
25,0.8190091
26,0.8190091
27,0.8190091
28,0.8190091
29,0.8190091
30,0.8190091
31,0.8190091
32,0.8190091
33,0.8190091
34,0.8190091
35,0.8190091
36,0.8190091
37,0.8190091
38,0.8190091
39,0.8190091
40,0.8190091
41,0.8190091
42,0.8190091
43,0.8190091
44,0.8190091
45,0.8190091
46,0.8190091
47,0.8190091
48,0.8190091
49,0.8190091
50,0.8190091
