,0,1,2,3,4,5,6,7,8
0,1.0,2.0,86.0,33.0,115.0,0.0,0.0,0.0,0.8099089989888777
1,2.0,2.0,80.0,92.0,62.0,54.0,0.0,0.0,0.6835187057633973
2,1.0,1.0,126.0,124.0,0.0,0.0,0.0,0.0,0.8119312436804853
3,2.0,1.0,108.0,110.0,63.0,0.0,0.0,0.0,0.7987866531850354
4,2.0,2.0,60.0,36.0,103.0,76.0,0.0,0.0,0.7512639029322548
5,2.0,2.0,124.0,74.0,90.0,83.0,0.0,0.0,0.8119312436804853
6,2.0,1.0,70.0,59.0,55.0,0.0,0.0,0.0,0.750252780586451
7,2.0,1.0,64.0,76.0,41.0,0.0,0.0,0.0,0.8129423660262892
8,2.0,1.0,124.0,93.0,64.0,0.0,0.0,0.0,0.6905965621840243
9,2.0,2.0,86.0,87.0,66.0,59.0,0.0,0.0,0.8018200202224469
10,2.0,2.0,119.0,40.0,69.0,71.0,0.0,0.0,0.7583417593528817
11,1.0,2.0,58.0,87.0,66.0,0.0,0.0,0.0,0.7654196157735086
12,2.0,1.0,78.0,74.0,76.0,0.0,0.0,0.0,0.7967644084934277
13,2.0,1.0,69.0,85.0,68.0,0.0,0.0,0.0,0.7917087967644085
14,2.0,1.0,80.0,44.0,109.0,0.0,0.0,0.0,0.8058645096056622
15,2.0,1.0,62.0,93.0,34.0,0.0,0.0,0.0,0.7381193124368048
16,2.0,1.0,106.0,39.0,66.0,0.0,0.0,0.0,0.5662285136501517
17,1.0,2.0,73.0,109.0,82.0,0.0,0.0,0.0,0.8018200202224469
18,2.0,1.0,121.0,43.0,65.0,0.0,0.0,0.0,0.7542972699696663
19,1.0,2.0,85.0,125.0,123.0,0.0,0.0,0.0,0.7290192113245703
20,2.0,1.0,36.0,70.0,113.0,0.0,0.0,0.0,0.8058645096056622
21,2.0,2.0,54.0,51.0,38.0,102.0,0.0,0.0,0.78159757330637
22,1.0,1.0,65.0,70.0,0.0,0.0,0.0,0.0,0.6996966632962589
23,2.0,2.0,50.0,92.0,51.0,64.0,0.0,0.0,0.660262891809909
24,1.0,2.0,107.0,105.0,44.0,0.0,0.0,0.0,0.8149646107178968
25,1.0,1.0,36.0,119.0,0.0,0.0,0.0,0.0,0.7482305358948432
26,1.0,2.0,53.0,103.0,112.0,0.0,0.0,0.0,0.7644084934277048
27,1.0,2.0,94.0,66.0,84.0,0.0,0.0,0.0,0.7795753286147624
28,2.0,2.0,111.0,32.0,120.0,99.0,0.0,0.0,0.8038422649140546
29,2.0,1.0,50.0,116.0,118.0,0.0,0.0,0.0,0.8109201213346815
30,1.0,2.0,90.0,119.0,62.0,0.0,0.0,0.0,0.8159757330637007
31,1.0,1.0,103.0,99.0,0.0,0.0,0.0,0.0,0.8119312436804853
32,2.0,1.0,74.0,76.0,111.0,0.0,0.0,0.0,0.8088978766430738
33,1.0,1.0,112.0,101.0,0.0,0.0,0.0,0.0,0.8008088978766431
34,1.0,2.0,123.0,53.0,104.0,0.0,0.0,0.0,0.8159757330637007
35,2.0,2.0,114.0,121.0,86.0,73.0,0.0,0.0,0.8058645096056622
36,1.0,1.0,110.0,33.0,0.0,0.0,0.0,0.0,0.6976744186046512
