,0
1,0.8532 
2,0.8563 
3,0.8563 
4,0.8563 
5,0.8603 
6,0.8603 
7,0.8603 
8,0.8603 
9,0.8603 
10,0.8603 
11,0.8603 
12,0.8603 
13,0.8603 
14,0.8603 
15,0.8603 
16,0.8603 
17,0.8603 
18,0.8603 
19,0.8603 
20,0.8603 
21,0.8603 
22,0.8603 
23,0.8603 
24,0.8603 
25,0.8634 
26,0.8634 
27,0.8634 
28,0.8634 
29,0.8634 
30,0.8634 
31,0.8634 
32,0.8634 
33,0.8634 
34,0.8634 
35,0.8634 
36,0.8634 
37,0.8634 
38,0.8634 
39,0.8634 
40,0.8634 
41,0.8634 
42,0.8634 
43,0.8634 
44,0.8634 
45,0.8634 
46,0.8634 
47,0.8634 
48,0.8634 
49,0.8634 
50,0.8634 
