,0,1,2,3,4,5,6,7,8
0,2.0,2.0,70.0,39.0,99.0,37.0,0.0,0.0,0.8028311425682507
1,2.0,2.0,79.0,79.0,47.0,66.0,0.0,0.0,0.8018200202224469
2,1.0,2.0,42.0,60.0,36.0,0.0,0.0,0.0,0.8159757330637007
3,2.0,2.0,114.0,121.0,87.0,110.0,0.0,0.0,0.7906976744186046
4,1.0,1.0,55.0,82.0,0.0,0.0,0.0,0.0,0.8119312436804853
5,1.0,2.0,94.0,87.0,116.0,0.0,0.0,0.0,0.813953488372093
6,1.0,1.0,32.0,122.0,0.0,0.0,0.0,0.0,0.8129423660262892
7,2.0,2.0,65.0,53.0,103.0,100.0,0.0,0.0,0.6683518705763397
8,2.0,2.0,113.0,84.0,96.0,117.0,0.0,0.0,0.7472194135490394
9,2.0,1.0,73.0,33.0,46.0,0.0,0.0,0.0,0.7957532861476239
10,2.0,1.0,35.0,62.0,44.0,0.0,0.0,0.0,0.7906976744186046
11,2.0,2.0,105.0,51.0,58.0,100.0,0.0,0.0,0.8068756319514662
12,1.0,1.0,96.0,54.0,0.0,0.0,0.0,0.0,0.8109201213346815
13,1.0,1.0,88.0,116.0,0.0,0.0,0.0,0.0,0.8058645096056622
14,2.0,2.0,40.0,76.0,56.0,126.0,0.0,0.0,0.7846309403437816
15,1.0,2.0,47.0,104.0,34.0,0.0,0.0,0.0,0.7128412537917088
16,1.0,2.0,48.0,34.0,111.0,0.0,0.0,0.0,0.8109201213346815
17,1.0,1.0,99.0,78.0,0.0,0.0,0.0,0.0,0.7896865520728008
18,1.0,1.0,89.0,87.0,0.0,0.0,0.0,0.0,0.8129423660262892
19,1.0,1.0,68.0,120.0,0.0,0.0,0.0,0.0,0.813953488372093
20,1.0,2.0,65.0,74.0,34.0,0.0,0.0,0.0,0.8179979777553084
21,1.0,2.0,119.0,116.0,67.0,0.0,0.0,0.0,0.8129423660262892
22,1.0,2.0,50.0,108.0,101.0,0.0,0.0,0.0,0.8109201213346815
23,1.0,2.0,113.0,112.0,40.0,0.0,0.0,0.0,0.8149646107178968
24,2.0,2.0,107.0,47.0,52.0,48.0,0.0,0.0,0.8109201213346815
25,1.0,2.0,96.0,93.0,115.0,0.0,0.0,0.0,0.8109201213346815
26,2.0,2.0,89.0,81.0,94.0,89.0,0.0,0.0,0.7836198179979778
27,2.0,1.0,115.0,59.0,119.0,0.0,0.0,0.0,0.7846309403437816
28,1.0,2.0,67.0,68.0,116.0,0.0,0.0,0.0,0.6450960566228514
29,1.0,1.0,93.0,60.0,0.0,0.0,0.0,0.0,0.8149646107178968
30,2.0,2.0,33.0,43.0,94.0,49.0,0.0,0.0,0.8008088978766431
31,1.0,1.0,62.0,70.0,0.0,0.0,0.0,0.0,0.4499494438827098
32,1.0,2.0,57.0,88.0,56.0,0.0,0.0,0.0,0.8129423660262892
33,2.0,1.0,44.0,108.0,40.0,0.0,0.0,0.0,0.7704752275025278
34,1.0,1.0,79.0,119.0,0.0,0.0,0.0,0.0,0.8149646107178968
35,2.0,1.0,57.0,53.0,54.0,0.0,0.0,0.0,0.8048533872598584
36,1.0,1.0,77.0,51.0,0.0,0.0,0.0,0.0,0.8099089989888777
37,1.0,1.0,73.0,79.0,0.0,0.0,0.0,0.0,0.8129423660262892
38,1.0,1.0,68.0,71.0,0.0,0.0,0.0,0.0,0.8088978766430738
39,2.0,1.0,49.0,71.0,91.0,0.0,0.0,0.0,0.7037411526794742
40,2.0,1.0,114.0,69.0,119.0,0.0,0.0,0.0,0.8088978766430738
41,2.0,2.0,70.0,40.0,86.0,49.0,0.0,0.0,0.8008088978766431
42,1.0,2.0,73.0,79.0,51.0,0.0,0.0,0.0,0.8119312436804853
43,2.0,2.0,75.0,76.0,67.0,74.0,0.0,0.0,0.7977755308392316
44,2.0,1.0,52.0,58.0,121.0,0.0,0.0,0.0,0.7027300303336703
45,1.0,2.0,55.0,34.0,97.0,0.0,0.0,0.0,0.8149646107178968
46,2.0,1.0,121.0,59.0,110.0,0.0,0.0,0.0,0.8088978766430738
47,1.0,1.0,100.0,123.0,0.0,0.0,0.0,0.0,0.8159757330637007
48,2.0,2.0,92.0,35.0,113.0,79.0,0.0,0.0,0.8018200202224469
49,1.0,2.0,93.0,95.0,64.0,0.0,0.0,0.0,0.8038422649140546
50,2.0,2.0,92.0,35.0,113.0,78.0,0.0,0.0,0.7492416582406471
51,2.0,1.0,44.0,60.0,40.0,0.0,0.2,0.0,0.750252780586451
52,1.0,1.0,96.0,40.0,0.0,0.0,0.0,0.0,0.8099089989888777
53,1.0,2.0,94.0,35.0,113.0,0.0,0.0,0.0,0.80788675429727
54,1.0,1.0,68.0,71.0,0.0,0.0,0.2,0.0,0.813953488372093
