,0
1,0.830128205
2,0.831730769
3,0.826923077
4,0.831730769
5,0.831730769
6,0.825320513
7,0.833333333
8,0.810897436
9,0.828525641
10,0.830128205
11,0.831730769
12,0.822115385
13,0.814102564
14,0.820512821
15,0.830128205
16,0.830128205
17,0.8125
18,0.831730769
19,0.820512821
20,0.818910256
21,0.830128205
22,0.831730769
23,0.830128205
24,0.831730769
25,0.831730769
26,0.831730769
27,0.831730769
28,0.831730769
29,0.826923077
30,0.831730769
31,0.831730769
32,0.825320513
33,0.825320513
34,0.833333333
35,0.833333333
36,0.830128205
37,0.831730769
38,0.831730769
39,0.831730769
40,0.833333333
41,0.833333333
42,0.833333333
43,0.830128205
44,0.822115385
45,0.833333333
46,0.825320513
47,0.823717949
48,0.826923077
49,0.830128205
50,0.822115385
