,0,1,2,3,4,5,6,7,8
0,2.0,1.0,92.0,39.0,60.0,0.0,0.0,0.0,0.7580128205128205
1,1.0,1.0,38.0,50.0,0.0,0.0,0.0,0.0,0.7019230769230769
2,1.0,1.0,124.0,50.0,0.0,0.0,0.0,0.0,0.8157051282051282
3,1.0,2.0,64.0,105.0,46.0,0.0,0.0,0.0,0.8301282051282052
4,1.0,1.0,92.0,105.0,0.0,0.0,0.0,0.0,0.8205128205128205
5,2.0,2.0,42.0,109.0,115.0,38.0,0.0,0.0,0.7916666666666666
6,1.0,1.0,36.0,119.0,0.0,0.0,0.0,0.0,0.8285256410256411
7,2.0,2.0,74.0,114.0,49.0,90.0,0.0,0.0,0.8092948717948718
8,2.0,2.0,124.0,109.0,115.0,38.0,0.0,0.0,0.7948717948717948
9,1.0,1.0,124.0,50.0,0.0,0.0,0.0,0.0,0.8317307692307693
10,1.0,1.0,36.0,119.0,0.0,0.0,0.0,0.0,0.6858974358974359
11,1.0,1.0,38.0,50.0,0.0,0.0,0.0,0.0,0.6650641025641025
12,1.0,1.0,38.0,50.0,0.0,0.0,0.0,0.0,0.8221153846153846
13,2.0,2.0,42.0,50.0,115.0,38.0,0.0,0.0,0.7147435897435898
14,1.0,1.0,36.0,119.0,0.0,0.0,0.0,0.0,0.8317307692307693
15,2.0,2.0,74.0,114.0,49.0,90.0,0.0,0.0,0.7884615384615384
16,1.0,1.0,124.0,50.0,0.0,0.0,0.0,0.0,0.8221153846153846
17,2.0,2.0,124.0,109.0,115.0,38.0,0.0,0.0,0.7852564102564102
18,1.0,1.0,36.0,119.0,0.0,0.0,0.0,0.0,0.6907051282051282
19,1.0,1.0,36.0,119.0,0.0,0.0,0.0,0.0,0.8173076923076923
20,1.0,1.0,36.0,119.0,0.0,0.0,0.0,0.0,0.8141025641025641
21,2.0,2.0,42.0,50.0,115.0,38.0,0.0,0.0,0.8237179487179487
22,1.0,1.0,124.0,50.0,0.0,0.0,0.0,0.0,0.8269230769230769
23,1.0,1.0,36.0,50.0,0.0,0.0,0.0,0.0,0.6907051282051282
24,1.0,1.0,36.0,119.0,0.0,0.0,0.0,0.0,0.8285256410256411
25,1.0,1.0,36.0,119.0,0.0,0.0,0.0,0.0,0.8317307692307693
26,1.0,1.0,36.0,50.0,0.0,0.0,0.0,0.0,0.8173076923076923
27,1.0,1.0,36.0,119.0,0.0,0.0,0.0,0.0,0.8253205128205128
28,1.0,1.0,36.0,50.0,0.0,0.0,0.0,0.0,0.5160256410256411
29,1.0,1.0,36.0,50.0,0.0,0.0,0.0,0.0,0.7868589743589743
30,2.0,2.0,42.0,50.0,115.0,38.0,0.0,0.0,0.7676282051282052
