,0
1,0.652834008
2,0.652834008
3,0.652834008
4,0.652834008
5,0.652834008
6,0.652834008
7,0.652834008
8,0.653846154
9,0.653846154
10,0.653846154
11,0.653846154
12,0.653846154
13,0.6548583
14,0.6548583
15,0.6548583
16,0.6548583
17,0.6548583
18,0.6548583
19,0.6548583
20,0.6548583
21,0.6548583
22,0.6548583
23,0.655870445
24,0.655870445
25,0.655870445
26,0.655870445
27,0.655870445
28,0.655870445
29,0.655870445
30,0.655870445
31,0.655870445
32,0.655870445
33,0.655870445
34,0.655870445
35,0.655870445
36,0.655870445
37,0.655870445
38,0.655870445
39,0.655870445
40,0.655870445
41,0.655870445
42,0.655870445
43,0.655870445
44,0.655870445
45,0.655870445
46,0.655870445
47,0.655870445
48,0.655870445
49,0.655870445
50,0.655870445
