,0,1,2,3,4,5,6,7,8
1232,1,1,38,0,114,0,0.2,1,0.863360324
1490,1,1,103,0,46,0,0.4,1,0.861336032
231,1,1,105,0,94,0,0.1,2,0.860323887
785,1,2,71,0,121,88,0.3,2,0.860323887
2429,1,2,72,0,103,72,0.4,1,0.860323887
790,1,1,90,0,91,0,0.4,2,0.859311741
1375,1,1,106,0,86,0,0.3,1,0.859311741
971,1,1,118,0,91,0,0.2,1,0.858299595
1157,1,1,73,0,85,0,0.3,1,0.858299595
2013,1,2,113,0,117,32,0.1,2,0.858299595
2072,1,1,94,0,53,0,0.1,1,0.858299595
474,1,1,99,0,78,0,0.4,1,0.857287449
617,1,2,102,0,107,121,0.3,2,0.857287449
686,1,1,73,0,84,0,0.4,2,0.857287449
713,1,1,52,0,66,0,0.2,1,0.857287449
788,1,2,123,0,107,78,0.4,2,0.857287449
1023,1,1,98,0,70,0,0.1,1,0.857287449
1252,1,1,82,0,119,0,0.1,2,0.857287449
1896,1,1,99,0,118,0,0.2,1,0.857287449
2042,1,1,52,0,124,0,0.3,1,0.857287449
2078,1,1,61,0,71,0,0.3,1,0.857287449
2144,1,2,50,0,81,50,0.1,1,0.857287449
2188,1,1,104,0,89,0,0.1,2,0.857287449
2418,1,2,96,0,106,103,0.1,2,0.857287449
2438,1,2,107,0,108,112,0.1,2,0.857287449
73,1,2,122,0,82,76,0.1,1,0.856275304
127,1,2,102,0,87,66,0.2,2,0.856275304
155,1,2,33,0,116,51,0.2,2,0.856275304
223,1,1,72,0,102,0,0.4,2,0.856275304
233,1,2,87,0,68,96,0.2,2,0.856275304
239,1,2,69,0,126,68,0.4,2,0.856275304
267,1,1,106,0,100,0,0.1,1,0.856275304
323,1,1,127,0,88,0,0.1,2,0.856275304
363,1,2,111,0,76,112,0.2,1,0.856275304
443,1,1,72,0,99,0,0.2,2,0.856275304
444,1,1,109,0,40,0,0.3,1,0.856275304
447,1,2,99,0,55,117,0.2,2,0.856275304
459,1,1,122,0,71,0,0.4,2,0.856275304
486,1,1,67,0,54,0,0.3,2,0.856275304
562,1,1,79,0,58,0,0.2,2,0.856275304
569,1,1,118,0,100,0,0.2,2,0.856275304
586,1,2,113,0,68,106,0.1,1,0.856275304
620,1,1,70,0,114,0,0.4,2,0.856275304
624,1,1,105,0,124,0,0.2,1,0.856275304
656,1,1,92,0,63,0,0.2,2,0.856275304
657,1,1,123,0,108,0,0.3,1,0.856275304
663,1,1,85,0,103,0,0.1,2,0.856275304
683,1,1,62,0,105,0,0.1,1,0.856275304
726,1,1,120,0,109,0,0.4,2,0.856275304
800,1,2,107,0,47,52,0.3,2,0.856275304
