,0
1,0.644295302
2,0.644295302
3,0.644295302
4,0.644295302
5,0.644295302
6,0.644295302
7,0.644295302
8,0.644295302
9,0.644295302
10,0.644295302
11,0.644295302
12,0.644295302
13,0.644295302
14,0.644295302
15,0.651006711
16,0.651006711
17,0.651006711
18,0.651006711
19,0.651006711
20,0.651006711
21,0.651006711
22,0.651006711
23,0.651006711
24,0.651006711
25,0.651006711
26,0.651006711
27,0.651006711
28,0.651006711
29,0.651006711
30,0.651006711
31,0.651006711
32,0.651006711
33,0.651006711
34,0.651006711
35,0.651006711
36,0.651006711
37,0.651006711
38,0.651006711
39,0.651006711
40,0.651006711
41,0.651006711
42,0.651006711
43,0.651006711
44,0.651006711
45,0.651006711
46,0.651006711
47,0.651006711
48,0.651006711
49,0.651006711
50,0.651006711
