,0,1,2,3,4,5,6,7,8
0,1.0,1.0,98.0,101.0,0.0,0.0,0.0,0.0,0.8532388663967612
1,2.0,2.0,44.0,100.0,59.0,80.0,0.0,0.0,0.8431174089068826
2,1.0,2.0,93.0,49.0,109.0,0.0,0.0,0.0,0.8228744939271255
3,2.0,2.0,82.0,74.0,92.0,116.0,0.0,0.0,0.8431174089068826
4,2.0,2.0,127.0,53.0,67.0,106.0,0.0,0.0,0.8248987854251012
5,2.0,1.0,40.0,124.0,83.0,0.0,0.0,0.0,0.8491902834008097
6,2.0,1.0,87.0,104.0,73.0,0.0,0.0,0.0,0.847165991902834
7,2.0,2.0,107.0,55.0,35.0,101.0,0.0,0.0,0.8390688259109311
8,1.0,2.0,74.0,97.0,72.0,0.0,0.0,0.0,0.8461538461538461
9,2.0,1.0,93.0,105.0,43.0,0.0,0.0,0.0,0.8532388663967612
10,1.0,2.0,44.0,125.0,108.0,0.0,0.0,0.0,0.8512145748987854
11,2.0,2.0,116.0,92.0,43.0,71.0,0.0,0.0,0.6882591093117408
12,1.0,2.0,72.0,76.0,121.0,0.0,0.0,0.0,0.8491902834008097
13,2.0,1.0,35.0,92.0,72.0,0.0,0.0,0.0,0.832995951417004
14,1.0,2.0,95.0,91.0,33.0,0.0,0.0,0.0,0.8451417004048583
15,2.0,2.0,100.0,32.0,42.0,58.0,0.0,0.0,0.7672064777327935
16,2.0,2.0,101.0,40.0,125.0,122.0,0.0,0.0,0.8340080971659919
17,2.0,2.0,79.0,116.0,60.0,90.0,0.0,0.0,0.8228744939271255
18,1.0,2.0,116.0,97.0,121.0,0.0,0.0,0.0,0.8512145748987854
19,2.0,2.0,60.0,51.0,55.0,76.0,0.0,0.0,0.8188259109311741
20,2.0,1.0,36.0,71.0,42.0,0.0,0.0,0.0,0.8410931174089069
21,1.0,1.0,62.0,118.0,0.0,0.0,0.0,0.0,0.8097165991902834
22,1.0,1.0,52.0,102.0,0.0,0.0,0.0,0.0,0.8491902834008097
23,2.0,1.0,99.0,126.0,95.0,0.0,0.0,0.0,0.8481781376518218
24,2.0,1.0,43.0,49.0,111.0,0.0,0.0,0.0,0.7995951417004049
25,1.0,2.0,108.0,95.0,76.0,0.0,0.0,0.0,0.8228744939271255
26,1.0,2.0,105.0,44.0,121.0,0.0,0.0,0.0,0.8309716599190283
27,2.0,2.0,64.0,72.0,61.0,93.0,0.0,0.0,0.8410931174089069
28,2.0,1.0,43.0,51.0,71.0,0.0,0.0,0.0,0.7793522267206477
29,2.0,1.0,100.0,42.0,75.0,0.0,0.0,0.0,0.8441295546558705
30,1.0,1.0,119.0,126.0,0.0,0.0,0.0,0.0,0.8481781376518218
31,1.0,2.0,75.0,49.0,78.0,0.0,0.0,0.0,0.8360323886639676
32,1.0,2.0,89.0,94.0,59.0,0.0,0.0,0.0,0.8238866396761133
33,2.0,2.0,52.0,87.0,32.0,94.0,0.0,0.0,0.7803643724696356
34,2.0,2.0,111.0,61.0,59.0,43.0,0.0,0.0,0.8319838056680162
35,2.0,2.0,70.0,66.0,62.0,95.0,0.0,0.0,0.8431174089068826
36,1.0,1.0,98.0,105.0,0.0,0.0,0.0,0.0,0.77834008097166
37,2.0,2.0,42.0,59.0,122.0,36.0,0.0,0.0,0.8441295546558705
38,1.0,2.0,87.0,123.0,53.0,0.0,0.0,0.0,0.7753036437246964
39,1.0,1.0,95.0,45.0,0.0,0.0,0.0,0.0,0.8532388663967612
40,1.0,2.0,78.0,52.0,53.0,0.0,0.0,0.0,0.8188259109311741
41,2.0,2.0,59.0,43.0,123.0,90.0,0.0,0.0,0.8340080971659919
42,2.0,1.0,38.0,57.0,85.0,0.0,0.0,0.0,0.7530364372469636
43,1.0,1.0,65.0,126.0,0.0,0.0,0.0,0.0,0.8026315789473685
44,2.0,2.0,58.0,78.0,124.0,62.0,0.0,0.0,0.8410931174089069
45,2.0,2.0,102.0,107.0,119.0,92.0,0.0,0.0,0.8279352226720648
46,2.0,1.0,82.0,47.0,42.0,0.0,0.0,0.0,0.8421052631578947
47,2.0,2.0,69.0,106.0,66.0,115.0,0.0,0.0,0.8431174089068826
48,1.0,2.0,102.0,60.0,106.0,0.0,0.0,0.0,0.8309716599190283
49,1.0,2.0,102.0,98.0,33.0,0.0,0.0,0.0,0.8390688259109311
50,2.0,2.0,107.0,78.0,124.0,101.0,0.0,0.0,0.8512145748987854
51,2.0,1.0,127.0,42.0,67.0,0.0,0.0,0.0,0.854251012145749
52,1.0,1.0,52.0,98.0,0.0,0.0,0.0,0.0,0.7611336032388664
53,2.0,2.0,73.0,43.0,123.0,90.0,0.0,0.0,0.8451417004048583
54,2.0,1.0,100.0,42.0,50.0,0.0,0.0,0.0,0.8522267206477733
55,2.0,2.0,70.0,53.0,67.0,62.0,0.0,0.0,0.7864372469635628
56,1.0,2.0,105.0,44.0,121.0,0.0,0.0,0.0,0.8522267206477733
57,1.0,2.0,89.0,94.0,59.0,0.0,0.0,0.0,0.7489878542510121
58,2.0,1.0,93.0,105.0,122.0,0.0,0.0,0.0,0.7550607287449392
59,2.0,1.0,111.0,104.0,59.0,0.0,0.0,0.0,0.8441295546558705
60,2.0,2.0,40.0,59.0,83.0,36.0,0.0,0.0,0.8188259109311741
61,2.0,2.0,78.0,52.0,53.0,76.0,0.0,0.0,0.832995951417004
62,2.0,2.0,102.0,107.0,43.0,92.0,0.0,0.0,0.8502024291497976
63,1.0,1.0,95.0,45.0,0.0,0.0,0.0,0.0,0.8421052631578947
64,1.0,2.0,59.0,43.0,33.0,0.0,0.1,0.0,0.8289473684210527
