,0,1,2,3,4,5,6,7,8
0,1.0,2.0,99.0,51.0,106.0,0.0,0.0,0.0,0.610738255033557
1,1.0,2.0,44.0,69.0,110.0,0.0,0.0,0.0,0.5838926174496645
2,2.0,2.0,73.0,51.0,85.0,111.0,0.0,0.0,0.6241610738255033
3,1.0,2.0,94.0,58.0,48.0,0.0,0.0,0.0,0.610738255033557
4,2.0,1.0,89.0,87.0,35.0,0.0,0.0,0.0,0.6241610738255033
5,2.0,2.0,119.0,99.0,80.0,67.0,0.0,0.0,0.5570469798657718
6,2.0,1.0,32.0,107.0,115.0,0.0,0.0,0.0,0.6308724832214765
7,2.0,2.0,85.0,115.0,45.0,53.0,0.0,0.0,0.6174496644295302
8,1.0,2.0,116.0,109.0,95.0,0.0,0.0,0.0,0.6241610738255033
9,2.0,2.0,83.0,87.0,120.0,118.0,0.0,0.0,0.610738255033557
10,2.0,1.0,40.0,39.0,89.0,0.0,0.0,0.0,0.6174496644295302
11,1.0,2.0,111.0,77.0,121.0,0.0,0.0,0.0,0.5906040268456376
12,1.0,1.0,109.0,52.0,0.0,0.0,0.0,0.0,0.610738255033557
13,2.0,2.0,36.0,122.0,107.0,60.0,0.0,0.0,0.6174496644295302
14,2.0,2.0,51.0,46.0,104.0,50.0,0.0,0.0,0.6241610738255033
15,2.0,2.0,96.0,67.0,37.0,34.0,0.0,0.0,0.6241610738255033
16,1.0,1.0,57.0,33.0,0.0,0.0,0.0,0.0,0.6174496644295302
17,2.0,1.0,104.0,122.0,84.0,0.0,0.0,0.0,0.6174496644295302
18,2.0,1.0,54.0,98.0,75.0,0.0,0.0,0.0,0.610738255033557
19,2.0,2.0,104.0,70.0,49.0,89.0,0.0,0.0,0.6040268456375839
20,1.0,2.0,115.0,36.0,125.0,0.0,0.0,0.0,0.6174496644295302
21,1.0,1.0,70.0,127.0,0.0,0.0,0.0,0.0,0.5906040268456376
22,2.0,1.0,56.0,49.0,51.0,0.0,0.0,0.0,0.5503355704697986
23,1.0,2.0,77.0,76.0,109.0,0.0,0.0,0.0,0.5973154362416108
24,2.0,2.0,66.0,57.0,82.0,86.0,0.0,0.0,0.6241610738255033
25,1.0,2.0,51.0,38.0,85.0,0.0,0.0,0.0,0.5771812080536913
26,2.0,2.0,34.0,46.0,99.0,90.0,0.0,0.0,0.6241610738255033
27,1.0,2.0,65.0,115.0,110.0,0.0,0.0,0.0,0.6040268456375839
28,1.0,2.0,123.0,103.0,72.0,0.0,0.0,0.0,0.6174496644295302
29,2.0,1.0,82.0,86.0,69.0,0.0,0.0,0.0,0.5906040268456376
30,2.0,2.0,54.0,100.0,94.0,99.0,0.0,0.0,0.5369127516778524
31,2.0,1.0,53.0,68.0,35.0,0.0,0.0,0.0,0.6308724832214765
32,2.0,2.0,106.0,70.0,114.0,86.0,0.0,0.0,0.5973154362416108
33,1.0,2.0,92.0,100.0,83.0,0.0,0.0,0.0,0.5771812080536913
34,2.0,1.0,90.0,74.0,123.0,0.0,0.0,0.0,0.5973154362416108
35,1.0,2.0,112.0,94.0,104.0,0.0,0.0,0.0,0.6174496644295302
36,2.0,1.0,115.0,103.0,108.0,0.0,0.0,0.0,0.5906040268456376
37,2.0,1.0,77.0,56.0,65.0,0.0,0.0,0.0,0.6375838926174496
38,1.0,1.0,51.0,72.0,0.0,0.0,0.0,0.0,0.6040268456375839
39,2.0,2.0,52.0,120.0,120.0,76.0,0.0,0.0,0.6174496644295302
40,2.0,1.0,68.0,87.0,56.0,0.0,0.0,0.0,0.6308724832214765
41,2.0,1.0,57.0,59.0,112.0,0.0,0.0,0.0,0.6442953020134228
42,2.0,1.0,109.0,53.0,88.0,0.0,0.0,0.0,0.5973154362416108
43,1.0,2.0,70.0,44.0,34.0,0.0,0.0,0.0,0.610738255033557
44,1.0,1.0,54.0,123.0,0.0,0.0,0.0,0.0,0.610738255033557
45,2.0,1.0,87.0,125.0,89.0,0.0,0.0,0.0,0.5369127516778524
46,1.0,1.0,105.0,53.0,0.0,0.0,0.0,0.0,0.6174496644295302
47,2.0,1.0,110.0,51.0,76.0,0.0,0.0,0.0,0.6442953020134228
48,1.0,2.0,44.0,109.0,45.0,0.0,0.0,0.0,0.6174496644295302
49,2.0,1.0,64.0,125.0,121.0,0.0,0.0,0.0,0.5771812080536913
50,2.0,1.0,109.0,76.0,88.0,0.0,0.0,0.0,0.6040268456375839
51,2.0,1.0,82.0,86.0,115.0,0.0,0.0,0.0,0.5973154362416108
52,1.0,2.0,99.0,51.0,106.0,0.0,0.0,0.0,0.6241610738255033
53,2.0,1.0,64.0,125.0,121.0,0.0,0.0,0.0,0.6241610738255033
54,2.0,1.0,32.0,107.0,115.0,0.0,0.0,0.0,0.5838926174496645
55,2.0,2.0,106.0,70.0,114.0,86.0,0.0,0.0,0.6241610738255033
56,2.0,1.0,73.0,51.0,85.0,0.0,0.0,0.0,0.5973154362416108
57,1.0,2.0,44.0,109.0,45.0,0.0,0.0,0.0,0.610738255033557
58,2.0,2.0,83.0,87.0,120.0,118.0,0.0,0.0,0.5973154362416108
59,2.0,1.0,110.0,51.0,76.0,0.0,0.0,0.0,0.6174496644295302
60,2.0,1.0,32.0,107.0,115.0,0.0,0.0,0.0,0.5838926174496645
61,1.0,2.0,70.0,44.0,34.0,0.0,0.0,0.0,0.5906040268456376
62,1.0,1.0,64.0,123.0,0.0,0.0,0.0,0.0,0.610738255033557
63,2.0,1.0,110.0,51.0,76.0,0.0,0.0,0.0,0.5704697986577181
64,2.0,2.0,119.0,99.0,80.0,67.0,0.0,0.0,0.6308724832214765
65,1.0,2.0,115.0,36.0,107.0,0.0,0.0,0.0,0.6308724832214765
66,2.0,2.0,52.0,51.0,85.0,111.0,0.0,0.0,0.6308724832214765
67,2.0,2.0,85.0,115.0,83.0,53.0,0.0,0.0,0.5973154362416108
68,1.0,2.0,65.0,115.0,110.0,0.0,0.0,0.0,0.5838926174496645
69,2.0,2.0,83.0,87.0,120.0,118.0,0.0,0.0,0.6174496644295302
70,2.0,1.0,54.0,123.0,123.0,0.0,0.0,0.0,0.5906040268456376
71,1.0,1.0,36.0,52.0,0.0,0.0,0.0,0.0,0.5838926174496645
72,2.0,1.0,32.0,107.0,115.0,0.0,0.0,0.0,0.6040268456375839
73,2.0,2.0,51.0,46.0,104.0,50.0,0.0,0.0,0.5771812080536913
74,2.0,2.0,52.0,120.0,120.0,76.0,0.0,0.0,0.6040268456375839
75,2.0,2.0,36.0,122.0,106.0,60.0,0.0,0.0,0.6308724832214765
76,1.0,1.0,65.0,123.0,0.0,0.0,0.0,0.0,0.610738255033557
77,2.0,2.0,73.0,53.0,85.0,111.0,0.0,0.0,0.6442953020134228
78,2.0,2.0,82.0,87.0,120.0,118.0,0.0,0.0,0.5369127516778524
79,1.0,2.0,44.0,69.0,110.0,0.0,0.4,0.0,0.6040268456375839
80,1.0,2.0,65.0,68.0,35.0,0.0,0.0,0.0,0.6174496644295302
81,1.0,2.0,64.0,125.0,121.0,0.0,0.0,0.0,0.5838926174496645
82,2.0,2.0,73.0,51.0,85.0,111.0,0.0,0.0,0.6040268456375839
83,2.0,2.0,32.0,120.0,115.0,76.0,0.0,0.0,0.6040268456375839
84,1.0,1.0,54.0,51.0,0.0,0.0,0.0,0.0,0.5838926174496645
85,1.0,2.0,65.0,115.0,110.0,0.0,0.0,0.0,0.610738255033557
86,1.0,1.0,109.0,52.0,0.0,0.0,0.0,0.0,0.6040268456375839
87,2.0,1.0,89.0,87.0,35.0,0.0,0.0,0.0,0.5906040268456376
88,1.0,2.0,123.0,51.0,72.0,0.0,0.0,0.0,0.6174496644295302
89,1.0,2.0,77.0,87.0,109.0,0.0,0.0,0.0,0.6174496644295302
90,1.0,1.0,32.0,107.0,0.0,0.0,0.0,0.0,0.5637583892617449
91,1.0,2.0,99.0,87.0,106.0,0.0,0.0,0.0,0.6040268456375839
92,2.0,1.0,53.0,107.0,35.0,0.0,0.0,0.0,0.4899328859060403
93,1.0,1.0,57.0,33.0,0.0,0.0,0.0,0.0,0.610738255033557
94,1.0,1.0,119.0,53.0,0.0,0.0,0.0,0.0,0.5906040268456376
95,1.0,2.0,115.0,36.0,125.0,0.0,0.0,0.0,0.6040268456375839
96,2.0,1.0,87.0,125.0,89.0,0.0,0.0,0.0,0.6241610738255033
97,2.0,1.0,54.0,98.0,75.0,0.0,0.0,0.0,0.6241610738255033
98,2.0,2.0,54.0,98.0,120.0,118.0,0.0,0.0,0.5704697986577181
99,1.0,2.0,116.0,109.0,95.0,0.0,0.0,0.0,0.610738255033557
100,1.0,1.0,32.0,107.0,0.0,0.0,0.0,0.0,0.6308724832214765
101,1.0,2.0,65.0,51.0,72.0,0.0,0.0,0.0,0.610738255033557
102,2.0,1.0,32.0,107.0,115.0,0.0,0.0,0.0,0.6241610738255033
103,1.0,1.0,57.0,123.0,0.0,0.0,0.0,0.0,0.5704697986577181
104,2.0,2.0,82.0,87.0,120.0,118.0,0.0,0.0,0.5973154362416108
105,1.0,2.0,82.0,87.0,120.0,0.0,0.0,0.0,0.610738255033557
106,1.0,2.0,82.0,86.0,110.0,0.0,0.0,0.0,0.610738255033557
107,2.0,1.0,52.0,51.0,85.0,0.0,0.0,0.0,0.610738255033557
108,1.0,2.0,99.0,115.0,110.0,0.0,0.0,0.0,0.5973154362416108
109,1.0,2.0,65.0,68.0,35.0,0.0,0.0,0.0,0.610738255033557
110,2.0,1.0,89.0,109.0,45.0,0.0,0.0,0.0,0.5973154362416108
111,1.0,2.0,44.0,69.0,110.0,0.0,0.4,0.0,0.5973154362416108
112,1.0,1.0,57.0,33.0,0.0,0.0,0.0,0.0,0.6241610738255033
113,2.0,1.0,82.0,86.0,115.0,0.0,0.0,0.0,0.6174496644295302
114,2.0,2.0,73.0,51.0,85.0,111.0,0.0,0.0,0.6174496644295302
115,1.0,2.0,99.0,87.0,106.0,0.0,0.0,0.0,0.6308724832214765
116,2.0,2.0,32.0,115.0,83.0,53.0,0.0,0.0,0.610738255033557
117,1.0,1.0,64.0,123.0,0.0,0.0,0.0,0.0,0.5704697986577181
118,1.0,2.0,65.0,115.0,110.0,0.0,0.0,0.0,0.6174496644295302
119,2.0,2.0,64.0,120.0,120.0,76.0,0.0,0.0,0.6174496644295302
120,1.0,1.0,54.0,51.0,0.0,0.0,0.0,0.0,0.6308724832214765
121,2.0,2.0,65.0,99.0,80.0,67.0,0.0,0.0,0.6040268456375839
122,1.0,2.0,44.0,109.0,45.0,0.0,0.0,0.0,0.610738255033557
123,2.0,2.0,119.0,99.0,80.0,67.0,0.0,0.0,0.6308724832214765
124,2.0,2.0,52.0,120.0,120.0,76.0,0.0,0.0,0.5906040268456376
125,1.0,1.0,54.0,51.0,0.0,0.0,0.0,0.0,0.5906040268456376
126,1.0,1.0,64.0,123.0,0.0,0.0,0.0,0.0,0.610738255033557
127,1.0,2.0,123.0,51.0,72.0,0.0,0.0,0.0,0.610738255033557
128,2.0,1.0,82.0,115.0,110.0,0.0,0.0,0.0,0.6241610738255033
129,1.0,1.0,109.0,52.0,0.0,0.0,0.0,0.0,0.5973154362416108
130,1.0,1.0,119.0,99.0,0.0,0.0,0.0,0.0,0.610738255033557
131,2.0,1.0,65.0,51.0,85.0,0.0,0.0,0.0,0.610738255033557
132,2.0,2.0,73.0,53.0,85.0,111.0,0.0,0.0,0.6040268456375839
133,1.0,2.0,115.0,123.0,107.0,0.0,0.0,0.0,0.610738255033557
134,2.0,1.0,32.0,107.0,115.0,0.0,0.0,0.0,0.6308724832214765
135,2.0,2.0,85.0,115.0,102.0,53.0,0.0,0.0,0.610738255033557
136,2.0,2.0,73.0,53.0,85.0,111.0,0.0,0.0,0.5637583892617449
137,1.0,1.0,54.0,123.0,0.0,0.0,0.0,0.0,0.6308724832214765
138,2.0,1.0,89.0,87.0,35.0,0.0,0.0,0.0,0.6241610738255033
139,2.0,1.0,54.0,87.0,123.0,0.0,0.0,0.0,0.6442953020134228
140,2.0,2.0,51.0,109.0,45.0,50.0,0.0,0.0,0.6174496644295302
141,2.0,1.0,51.0,46.0,104.0,0.0,0.0,0.0,0.46308724832214765
142,1.0,2.0,64.0,123.0,110.0,0.0,0.0,1.0,0.610738255033557
143,2.0,1.0,73.0,51.0,107.0,0.0,0.0,0.0,0.6040268456375839
144,1.0,2.0,44.0,109.0,45.0,0.0,0.0,0.0,0.6040268456375839
145,2.0,2.0,82.0,53.0,115.0,111.0,0.0,0.0,0.6308724832214765
146,2.0,2.0,32.0,53.0,85.0,111.0,0.0,0.0,0.610738255033557
147,2.0,2.0,82.0,53.0,85.0,113.0,0.0,0.0,0.6040268456375839
148,2.0,1.0,32.0,107.0,115.0,0.0,0.0,0.0,0.6241610738255033
149,2.0,1.0,73.0,53.0,85.0,0.0,0.0,0.0,0.5771812080536913
150,1.0,1.0,119.0,99.0,0.0,0.0,0.0,0.0,0.610738255033557
151,2.0,2.0,32.0,115.0,83.0,53.0,0.2,0.0,0.38926174496644295
152,2.0,1.0,82.0,51.0,115.0,0.0,0.0,0.0,0.5503355704697986
153,1.0,2.0,109.0,52.0,72.0,0.0,0.0,0.0,0.6040268456375839
154,1.0,1.0,109.0,52.0,0.0,0.0,0.0,0.0,0.610738255033557
155,2.0,2.0,32.0,115.0,83.0,53.0,0.0,0.0,0.6241610738255033
156,1.0,2.0,99.0,87.0,106.0,0.0,0.0,0.0,0.6174496644295302
157,1.0,1.0,109.0,99.0,0.0,0.0,0.0,0.0,0.6241610738255033
158,1.0,1.0,57.0,123.0,0.0,0.0,0.0,0.0,0.5906040268456376
159,1.0,1.0,57.0,123.0,0.0,0.0,0.0,0.0,0.5973154362416108
160,2.0,1.0,32.0,107.0,115.0,0.0,0.0,0.0,0.6174496644295302
161,1.0,1.0,119.0,99.0,0.0,0.0,0.0,0.0,0.5906040268456376
162,1.0,1.0,32.0,107.0,0.0,0.0,0.0,0.0,0.610738255033557
163,1.0,2.0,123.0,51.0,72.0,0.0,0.0,0.0,0.6174496644295302
164,2.0,1.0,57.0,33.0,35.0,0.0,0.0,0.0,0.5906040268456376
165,1.0,1.0,57.0,33.0,0.0,0.0,0.0,0.0,0.610738255033557
166,1.0,2.0,91.0,87.0,106.0,0.0,0.0,0.0,0.610738255033557
167,2.0,2.0,65.0,77.0,80.0,67.0,0.0,0.0,0.6174496644295302
168,1.0,1.0,54.0,123.0,0.0,0.0,0.0,0.0,0.5637583892617449
169,2.0,1.0,73.0,51.0,107.0,0.0,0.0,0.0,0.5838926174496645
170,2.0,2.0,82.0,53.0,115.0,111.0,0.0,0.0,0.5973154362416108
171,2.0,1.0,73.0,51.0,107.0,0.0,0.0,0.0,0.6308724832214765
172,2.0,2.0,32.0,107.0,120.0,76.0,0.0,0.0,0.6308724832214765
173,1.0,1.0,54.0,123.0,0.0,0.0,0.0,0.0,0.6174496644295302
174,1.0,2.0,64.0,109.0,45.0,0.0,0.0,0.0,0.6174496644295302
175,2.0,2.0,82.0,53.0,85.0,113.0,0.0,0.0,0.610738255033557
176,2.0,1.0,73.0,51.0,107.0,0.0,0.0,0.0,0.5637583892617449
177,1.0,2.0,123.0,51.0,72.0,0.0,0.0,0.0,0.5973154362416108
178,1.0,1.0,109.0,52.0,0.0,0.0,0.0,0.0,0.6241610738255033
179,1.0,1.0,119.0,86.0,0.0,0.0,0.0,0.0,0.610738255033557
180,2.0,2.0,52.0,120.0,120.0,76.0,0.0,0.0,0.6040268456375839
181,2.0,2.0,67.0,53.0,85.0,111.0,0.0,0.0,0.5973154362416108
182,2.0,2.0,73.0,51.0,107.0,67.0,0.0,0.0,0.6308724832214765
183,1.0,2.0,115.0,51.0,107.0,0.0,0.0,0.0,0.6241610738255033
184,1.0,1.0,32.0,107.0,0.0,0.0,0.0,0.0,0.5704697986577181
185,2.0,2.0,65.0,99.0,93.0,67.0,0.0,0.0,0.5973154362416108
186,1.0,2.0,109.0,52.0,110.0,0.0,0.0,1.0,0.6174496644295302
187,2.0,2.0,85.0,115.0,102.0,53.0,0.0,0.0,0.6241610738255033
188,2.0,1.0,89.0,55.0,35.0,0.0,0.0,0.0,0.5973154362416108
189,2.0,1.0,73.0,51.0,107.0,0.0,0.0,0.0,0.6308724832214765
190,2.0,1.0,89.0,109.0,115.0,0.0,0.0,0.0,0.6174496644295302
191,1.0,1.0,32.0,107.0,0.0,0.0,0.0,0.0,0.6308724832214765
192,2.0,1.0,32.0,107.0,115.0,0.0,0.0,0.0,0.6040268456375839
193,2.0,2.0,119.0,99.0,80.0,67.0,0.0,0.0,0.6040268456375839
194,1.0,1.0,57.0,33.0,0.0,0.0,0.0,0.0,0.5570469798657718
195,2.0,1.0,52.0,51.0,85.0,0.0,0.0,0.0,0.6174496644295302
196,1.0,2.0,44.0,69.0,110.0,0.0,0.4,0.0,0.5973154362416108
197,2.0,2.0,109.0,52.0,45.0,50.0,0.0,0.0,0.6241610738255033
198,2.0,1.0,32.0,99.0,115.0,0.0,0.0,0.0,0.6174496644295302
199,2.0,2.0,82.0,53.0,115.0,111.0,0.0,0.0,0.5973154362416108
200,1.0,2.0,91.0,115.0,83.0,0.0,0.0,0.0,0.6174496644295302
201,2.0,2.0,32.0,53.0,115.0,113.0,0.0,0.0,0.5771812080536913
202,2.0,1.0,89.0,53.0,85.0,0.0,0.0,0.0,0.6375838926174496
203,2.0,2.0,32.0,115.0,83.0,53.0,0.0,0.0,0.610738255033557
204,1.0,2.0,115.0,51.0,107.0,0.0,0.0,0.0,0.6174496644295302
205,2.0,2.0,52.0,120.0,115.0,76.0,0.0,0.0,0.610738255033557
206,1.0,1.0,85.0,123.0,0.0,0.0,0.0,0.0,0.610738255033557
207,2.0,1.0,57.0,51.0,85.0,0.0,0.0,0.0,0.6174496644295302
208,1.0,1.0,57.0,123.0,0.0,0.0,0.0,0.0,0.6040268456375839
209,1.0,2.0,91.0,87.0,106.0,0.0,0.0,0.0,0.5704697986577181
210,1.0,1.0,82.0,53.0,0.0,0.0,0.0,0.0,0.5906040268456376
211,2.0,1.0,73.0,51.0,107.0,0.0,0.0,0.0,0.5973154362416108
212,2.0,2.0,119.0,115.0,80.0,67.0,0.0,0.0,0.6308724832214765
213,2.0,2.0,82.0,53.0,115.0,111.0,0.0,0.0,0.6308724832214765
214,2.0,2.0,65.0,77.0,80.0,67.0,0.0,2.0,0.5973154362416108
