,0
1,0.643724696
2,0.649797571
3,0.642712551
4,0.652834008
5,0.647773279
6,0.651821862
7,0.6548583
8,0.645748988
9,0.651821862
10,0.648785425
11,0.649797571
12,0.651821862
13,0.650809717
14,0.616396761
15,0.627530364
16,0.650809717
17,0.651821862
18,0.651821862
19,0.645748988
20,0.651821862
21,0.653846154
22,0.648785425
23,0.650809717
24,0.648785425
25,0.647773279
26,0.651821862
27,0.647773279
28,0.650809717
29,0.648785425
30,0.639676113
31,0.649797571
32,0.649797571
33,0.652834008
34,0.648785425
35,0.651821862
36,0.651821862
37,0.651821862
38,0.648785425
39,0.648785425
40,0.651821862
41,0.647773279
42,0.651821862
43,0.651821862
44,0.638663968
45,0.651821862
46,0.651821862
47,0.649797571
48,0.648785425
49,0.645748988
50,0.650809717
