,0,
1,0.8532 ,
2,0.8563 ,
3,0.8563 ,
4,0.8482 ,
5,0.8512 ,
6,0.8532 ,
7,0.8512 ,
8,0.8532 ,
9,0.8532 ,
10,0.8492 ,
11,0.8532 ,
12,0.8512 ,
13,0.8492 ,
14,0.8472 ,
15,0.8482 ,
16,0.8512 ,
17,0.8462 ,
18,0.8532 ,
19,0.8492 ,
20,0.8502 ,
21,0.8431 ,
22,0.8532 ,
23,0.8472 ,
24,0.8492 ,
25,0.8502 ,
26,0.8431 ,
27,0.8502 ,
28,0.8522 ,
29,0.8522 ,
30,0.8522 ,
31,0.8543 ,
32,0.8522 ,
33,0.8543 ,
34,0.8512 ,
35,0.8502 ,
36,0.8502 ,
37,0.8502 ,
38,0.8532 ,
39,0.8532 ,
40,0.8553 ,
41,0.8543 ,
42,0.8492 ,
43,0.8502 ,
44,0.8512 ,
45,0.8543 ,
46,0.8472 ,
47,0.8532 ,
48,0.8512 ,
49,0.8451 ,
50,0.8512 ,
