,0
1,0.637583893
2,0.630872483
3,0.644295302
4,0.630872483
5,0.624161074
6,0.644295302
7,0.651006711
8,0.637583893
9,0.637583893
10,0.644295302
11,0.630872483
12,0.630872483
13,0.630872483
14,0.630872483
15,0.651006711
16,0.630872483
17,0.644295302
18,0.644295302
19,0.624161074
20,0.637583893
21,0.630872483
22,0.624161074
23,0.630872483
24,0.630872483
25,0.617449664
26,0.630872483
27,0.624161074
28,0.624161074
29,0.630872483
30,0.630872483
31,0.624161074
32,0.624161074
33,0.630872483
34,0.630872483
35,0.644295302
36,0.624161074
37,0.630872483
38,0.617449664
39,0.624161074
40,0.630872483
41,0.624161074
42,0.630872483
43,0.624161074
44,0.630872483
45,0.637583893
46,0.630872483
47,0.630872483
48,0.644295302
49,0.637583893
50,0.637583893
