,0
1,0.816986855
2,0.814964611
3,0.815975733
4,0.813953488
5,0.816986855
6,0.816986855
7,0.813953488
8,0.814964611
9,0.815975733
10,0.816986855
11,0.807886754
12,0.817997978
13,0.817997978
14,0.816986855
15,0.813953488
16,0.816986855
17,0.816986855
18,0.816986855
19,0.815975733
20,0.815975733
21,0.815975733
22,0.814964611
23,0.815975733
24,0.814964611
25,0.817997978
26,0.814964611
27,0.815975733
28,0.813953488
29,0.816986855
30,0.817997978
31,0.815975733
32,0.814964611
33,0.814964611
34,0.816986855
35,0.815975733
36,0.812942366
37,0.813953488
38,0.816986855
39,0.815975733
40,0.813953488
41,0.815975733
42,0.817997978
43,0.816986855
44,0.816986855
45,0.813953488
46,0.815975733
47,0.814964611
48,0.814964611
49,0.817997978
50,0.817997978
