Open,High,Low,Close,Volume,trend
13334.29309,13530.44855,13013.25414,13503.5004,249278.8331,1
13405.72835,13806.98174,13226.74734,13605.5697,247568.7716,1
13489.45693,13862.57825,13435.16726,13640.71444,298500.329,1
13590.12481,13808.52071,13582.9319,13639.01105,354091.6479,-1
13774.49634,13806.26077,13617.56276,13633.25905,340046.6005,-1
13954.96219,13874.88969,13606.58938,13677.24446,300655.0035,1
13927.39836,14020.65038,13599.73158,13823.96783,304697.5546,1
13904.53236,14232.60667,13692.33367,14048.93611,327151.6893,1
14237.06585,14485.93216,14040.94214,14312.10345,329428.0331,1
14667.37849,14725.47231,14444.04385,14567.0193,321458.1788,1
14815.95781,14896.61419,14606.93754,14765.2104,316600.0009,1
14821.23633,15015.62728,14638.50658,14914.85404,311312.9343,1
14890.38907,15105.5328,14711.90114,15032.91697,302379.7287,1
15016.94918,15211.54603,14830.1959,15147.3157,291621.2281,1
15178.96356,15380.71153,14983.0783,15288.2182,280502.5457,1
15353.87939,15570.02528,15146.83022,15425.3922,269351.4898,1
15511.99956,15729.39508,15290.54908,15525.45528,259000.8061,1
15594.70248,15804.06051,15359.37586,15553.50186,248752.4984,1
15538.65391,15733.51774,15293.75861,15470.18436,237808.9442,-1
15392.80962,15569.32952,15142.24922,15319.2706,228456.4779,-1
15234.79125,15393.88705,14981.15337,15168.19054,222983.6543,-1
15091.95454,15236.69111,14837.80832,15036.52979,223661.2852,-1
15004.29872,15139.21052,14751.61669,14954.3876,232883.5566,-1
14989.29202,15122.16999,14739.70867,14943.66726,248792.7784,-1
15031.16363,15170.52167,14786.61499,14995.73274,267983.3804,1
15195.56487,15349.93829,14956.10476,15178.22451,289459.8746,1
15539.78959,15720.32306,15303.59868,15551.5657,311632.5194,1
15989.2754,16196.9718,15755.95898,16034.4928,332036.4717,1
16463.89874,16689.81888,16234.6761,16538.38533,348983.8753,1
16849.28697,17097.8844,16627.41339,16952.50365,358135.1529,1
17020.79843,17284.92061,16811.92992,17141.57199,355820.154,1
17035.2269,17307.73483,16843.57911,17156.72444,343517.8764,1
16985.4099,17335.07364,16811.91137,17144.06986,323868.0147,-1
16905.24962,17306.63009,16749.00444,17095.89843,302372.3492,-1
16878.47069,17078.65453,16742.24197,16923.46246,283915.51,-1
16887.80511,16872.19357,16775.21241,16788.60325,269345.2085,-1
16793.57899,16961.82697,16680.81166,16942.81712,259776.9586,1
16753.52663,17200.77474,16623.89071,17185.09114,248486.132,1
17059.85119,17406.6958,16979.98719,17189.3722,230216.8932,1
17409.19847,17512.01154,17360.72676,17091.38974,210739.6376,-1
17374.01076,17435.60111,17124.60915,17150.91126,194049.3754,1
17196.84329,17334.2958,16742.67365,17291.60626,197695.615,1
17180.34233,17391.50883,16917.4024,17322.3821,237541.1755,1
17344.45292,17616.35869,17370.91599,17409.54732,299062.1403,1
17746.31489,18033.07788,17682.69236,17824.01085,365782.3931,1
18180.58237,18454.14495,17884.42164,18295.98328,409890.6844,1
18331.60695,18611.61379,18030.61096,18445.1852,403491.327,1
18327.88262,18612.13951,18118.1203,18408.93635,361634.9465,-1
18382.86176,18635.14886,18165.55237,18405.38604,306566.9565,-1
18459.79214,18669.27469,18188.94961,18432.00523,262899.8204,1
18535.44124,18719.25235,18239.76111,18479.61371,256923.1104,1
18604.55882,18775.14878,18297.75096,18541.71754,278160.1786,1
18575.85573,18749.41987,18241.75006,18592.23026,307880.8808,1
18542.06914,18718.43346,18191.29614,18616.00718,331505.2223,1
18709.56989,18850.74844,18403.86932,18593.16463,332932.5532,-1
18855.15679,18963.20919,18605.10164,18532.25056,318022.3032,-1
18627.96146,18770.60817,18364.07246,18458.70938,298435.5823,-1
18247.93304,18450.26612,17963.15489,18354.68639,281112.1643,-1
18071.28409,18290.87132,17825.35916,18207.26746,273773.9758,-1
17999.57546,18215.76094,17821.45738,18047.28321,273330.5016,-1
17854.02286,18082.45687,17781.1905,17899.03382,273486.5677,-1
