trend,BOLLM,APO,CCI,DX,MACDFIX,MINUS_DI,ROCP,STOH,ADOSC,HT_TRENDLINE
1,13180.67397,-85.96210449,116.9194167,27.64658185,209.459874,13.59101741,0.139015983,99.21290656,-52470.15794,12708.91755
1,13335.53054,53.13716532,118.4712458,37.44422486,223.5161516,12.09744286,0.13896887,94.04697332,35929.58226,12692.18315
1,13460.37884,186.0040175,111.7381628,39.22604957,226.8509313,11.12739054,0.128709233,83.26657757,65200.97742,12688.33034
-1,13549.24183,306.7957358,101.9474241,39.22604957,220.1803491,10.64233117,0.112631452,76.6376053,14597.82624,12691.03513
-1,13604.41093,414.1904087,93.15954546,39.22604957,206.498161,10.24022074,0.095268834,75.22058475,-97627.14295,12702.74918
1,13639.15974,509.3902977,91.09577866,41.78265465,191.5304218,9.680166688,0.081931682,72.91538524,-179940.728,12721.65634
1,13682.83937,595.703231,96.20598796,46.89263113,182.5305238,8.861357487,0.077364103,69.6374956,-190909.8415,12746.19738
1,13764.4837,674.514656,113.7138045,53.31031115,182.5322163,7.93372367,0.079319733,69.21384367,-144723.1981,12780.54843
1,13899.10218,744.3022187,148.0601269,59.59489819,190.6307413,7.259641017,0.084686101,72.84019556,-89745.1802,12828.16009
1,14085.85423,802.4780826,182.8878837,64.46557355,202.9189968,6.690926264,0.090556882,79.34611608,-71989.45783,12892.45912
1,14303.44742,846.291937,175.8910565,67.48166144,213.5225165,6.269210717,0.093435773,85.39240735,-48837.41657,12962.18912
1,14521.62466,875.0111066,148.3771746,69.42515061,219.1051163,5.817409314,0.096231497,89.39231326,11189.77305,13033.69635
1,14718.42083,889.878224,129.755173,70.842822,218.7272513,5.381466352,0.102062288,91.81045821,95443.20417,13104.23832
1,14885.46328,896.0481238,117.9813498,72.46414028,213.7888788,4.991231276,0.110587538,92.39830225,182765.9059,13172.97391
1,15029.70306,901.8405808,116.0016278,74.86586461,207.3378099,4.615411557,0.121391308,90.95223618,249603.356,13230.99495
1,15161.73942,912.3245324,114.4442315,77.25661713,199.5584416,4.248742018,0.127814323,88.05037634,281377.1561,13290.91571
1,15283.85967,928.8519277,113.2447281,79.06217262,188.5247403,3.902511879,0.123082423,84.15884498,274610.8588,13364.03187
1,15387.97665,946.4379849,106.5762763,79.86853344,170.8972696,3.583817049,0.10709464,79.56726144,236833.8712,13450.81278
-1,15452.55038,953.4322715,89.26165624,73.54312808,142.2673931,4.49095216,0.080916192,71.18682745,184895.6686,13570.82467
-1,15458.76086,941.5652551,62.09635065,59.58782914,102.9957653,6.883627315,0.051640716,53.45061328,134408.2568,13719.59243
-1,15407.32053,908.260399,29.37644848,46.13211139,58.12075551,9.275078828,0.027292543,36.26965139,94889.80285,13887.42443
-1,15309.53543,855.269924,-11.34114719,35.20785102,12.55253909,11.19096454,0.008158025,23.34768558,69839.93224,14033.93474
-1,15189.71258,789.3769687,-49.66167117,28.96496776,-28.42379363,11.96354371,-0.005223828,21.31529731,56674.42936,14181.52827
-1,15084.40916,717.6552123,-66.66845228,28.0850524,-60.02590948,11.35130868,-0.013444523,21.93387193,51405.14123,14300.19005
