Open,High,Low,Close,Volume,trend,MACD,CCI,ATR,BBANDS,EMA20,MA10,MA5,MOM6,MOM12,ROC,CMO,WILLR
20654.52182,20857.88153,20412.81513,20671.88842,228286.5452,1,683.197839,102.3657814,415.6401251,20432.06247,19375.76763,19968.40982,20432.06247,909.39502,19732.36151,18700.98662,77.43736483,-5.981563322
20711.98938,20920.08669,20465.74075,20724.67642,229277.1873,1,704.7616814,97.04212849,418.4048261,20548.64649,19504.23513,20142.24968,20548.64649,762.20666,19924.90712,18795.17471,78.00913914,-6.530330862
20734.29325,20945.8463,20477.08599,20745.09726,229572.8486,1,715.2539704,90.30175664,422.0016464,20635.97075,19622.41248,20289.0744,20635.97075,603.3409,20096.15599,18892.66238,78.23888046,-7.227495831
20734.37842,20945.1582,20460.82239,20740.81774,229148.4356,-1,714.9819962,82.07980858,426.4540867,20692.67214,19728.92727,20409.5867,20692.67214,432.34181,20242.36765,18988.36699,77.81962115,-8.217052059
20727.24593,20933.91007,20453.77092,20726.86817,227745.6234,-1,705.5081818,73.99755752,430.288734,20721.8696,19823.96926,20506.02417,20721.8696,269.55739,20363.20249,19079.1255,76.36336061,-10.00052538
20728.93909,20927.09004,20489.83393,20716.8371,225136.9857,-1,689.245499,68.82038585,430.7864038,20730.85934,19909.00429,20581.46091,20730.85934,135.95622,20461.63102,19164.22853,75.25190208,-12.0790446
20733.64211,20920.91459,20548.76067,20707.99174,221546.8507,-1,667.9438185,65.57978545,426.5983692,20727.5224,19985.09833,20638.08444,20727.5224,36.10332,20540.42255,19244.66694,74.20932247,-14.42643621
20731.24229,20910.17418,20607.68358,20696.90575,217269.9827,-1,642.7582199,63.12598709,417.7335285,20717.8841,20052.88951,20676.92743,20717.8841,-27.77067,20601.62555,19323.3197,72.82164584,-17.24046168
20716.54296,20879.00234,20616.96328,20666.66071,212638.5286,-1,613.2883236,55.08641186,406.6124951,20703.05269,20111.34391,20697.86242,20703.05269,-78.43655,20645.36758,19402.07787,68.86950442,-21.99191825
20681.28584,20812.28322,20527.72474,20601.89747,208054.5674,-1,578.0440343,22.36807789,397.8943511,20678.05855,20158.0633,20699.96408,20678.05855,-138.92027,20669.81937,19481.02997,60.41037108,-31.01916834
20632.02698,20724.08897,20376.14171,20516.38811,203534.4349,-1,537.0223313,-54.46903596,394.3267018,20637.96876,20192.18947,20684.41405,20637.96876,-210.48006,20674.74248,19560.49579,49.74452375,-45.48339876
20580.29583,20629.52756,20207.60958,20423.89258,198987.3026,-1,491.3843471,-159.3585024,396.2975074,20581.14892,20214.25644,20654.33566,20581.14892,-292.94452,20661.66012,19640.83987,38.97971983,-66.57448642
20519.6611,20554.25013,20081.19365,20355.09928,194593.7458,-1,444.5404853,-202.5495788,401.7802911,20512.78763,20227.67004,20615.33587,20512.78763,-352.89246,20635.26103,19722.78705,31.41306701,-68.32188856
20448.91684,20525.18049,20059.90265,20340.5116,190474.4534,-1,401.609776,-165.4859785,406.3158303,20447.55781,20238.41685,20575.30525,20447.55781,-356.39415,20603.24729,19807.61192,29.79926822,-68.3265465
20371.53116,20523.20099,20108.34735,20357.89277,186726.4426,1,364.7843874,-118.2717533,406.9256739,20398.75687,20249.79551,20538.40771,20398.75687,-308.76794,20570.98025,19894.93431,30.88829832,-66.36466439
