Open,High,Low,Close,Volume,trend,BOLLU,BOLLM,BOLLL,DEMA,MIDPOINT,MIDPRICE],SMA,T3,TEMA,TRIMA,WMA,ADX,ADXR,APO,AROONOSC,BOP,CCI,CMO,DX,MACD,MACDSIG,MACDHIST,MACDEXT,MACDEXTSIG,MACDEXTHIST,MACDFIX,MACDFIXSIG,MACDFIXHIST,MFI,MINUS_DI,MOM,PLUS_DI,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,RSI,STOH,STOL,STOCHFH,STOCHFL,STOKH,STOKL,TRIX,ULTOSC,WILLR,ATR,NATR,TRANGE,AD,ADOSC,AVGPRICE,MEDPRICE,TYPPRICE,WCLPRICE,HT_DCPERIOD,HT_DCPHASE,INPHASOR,QUADTATURE,SINE,LEADSINE,HT_TRENDMODE,EMA,HT_TRENDLINE,KAMA,MA,MAMA,FAMA,SAR,SAREXT,AROONDOWN,AROONUP,OBV
13334.29309,13530.44855,13013.25414,13503.5004,249278.8331,1,13657.90244,13180.67397,12703.4455,12992.8705,12665.49143,12625.48749,12485.76958,12248.70273,13320.29357,12422.54988,12786.05505,29.05090209,29.0807085,-85.96210449,78.57142857,0.327163842,116.9194167,37.68984416,27.64658185,185.4887266,264.3004627,78.81173607,818.6614791,356.5716242,-462.0898549,209.459874,39.51331041,-169.9465635,78.36135332,13.59101741,1648.09134,23.97740093,1213.547945,-0.678666922,13.90159826,0.139015983,1.139015983,113.9015983,68.84492208,99.21290656,93.17453737,96.12737981,99.21290656,100,100,-0.234057676,64.50368757,-1.488912122,361.6643339,2.678300613,517.19441,-1462697.714,-52470.15794,13345.37404,13271.85135,13349.0677,13387.67587,26.96417428,59.27571111,757.1564697,348.1375532,0.859635764,0.969120352,1,12807.1039,12708.91755,12627.87528,12485.76958,12735.30756,12770.37257,12462.66829,12462.66829,21.42857143,100,-1001736.421
13405.72835,13806.98174,13226.74734,13605.5697,247568.7716,1,13758.13767,13335.53054,12912.92342,13166.83088,12716.52608,12763.75408,12602.79003,12312.12105,13509.09606,12571.51333,12935.36173,29.65042514,30.65139403,53.13716532,85.71428571,0.344414861,118.4712458,40.9796308,37.44422486,168.291588,289.1762211,120.8846331,905.703014,606.4662741,-299.2367399,223.5161516,94.2088883,-129.3072633,85.46886667,12.09744286,1660.05472,26.57985859,1403.399139,0.419215171,13.89688701,0.13896887,1.13896887,113.896887,70.4898154,94.04697332,95.91144287,77.25086265,94.04697332,100,100,-0.226087291,66.40828765,-9.653311915,377.2764815,2.772956148,580.2344,-1387002.004,35929.58226,13511.25678,13516.86454,13546.43293,13561.21712,26.37951604,77.81195455,808.8832142,158.5359974,0.977459965,0.84045356,1,12913.56601,12692.18315,12955.50419,12602.79003,12778.82067,12770.58377,12654.86873,12654.86873,14.28571429,100,-754167.6493
13489.45693,13862.57825,13435.16726,13640.71444,298500.329,1,13791.01453,13460.37884,13129.74315,13314.0414,12734.09845,12791.55234,12729.32459,12393.43306,13654.22762,12729.74615,13073.75165,30.33439832,32.20083591,186.0040175,92.85714286,0.353892421,111.7381628,42.11291915,39.22604957,140.1998524,296.1344486,155.9345962,878.5787224,750.0494055,-128.5293169,226.8509313,138.7892919,-88.06163939,92.82149687,11.12739054,1555.48111,25.49155709,1358.752853,1.465602515,12.87092328,0.128709233,1.128709233,112.8709233,71.05645957,83.26657757,92.17548582,76.42149026,83.26657757,100,100,-0.216672201,65.75890382,-10.35753696,380.8575178,2.792064298,427.41099,-1398397.405,65200.97742,13606.97922,13648.87276,13646.15332,13644.7936,25.77444856,92.25885591,824.5055133,6.398993584,0.999222956,0.678687237,1,13010.51913,12688.33034,13235.78289,12729.32459,12821.91536,12771.86706,12885.29134,12885.29134,7.142857143,100,-455667.3203
13590.12481,13808.52071,13582.9319,13639.01105,354091.6479,-1,13765.55445,13549.24183,13332.92922,13429.99642,12748.06175,12805.67699,12858.71949,12488.74173,13752.6931,12888.61201,13195.04318,30.96951626,33.63960337,306.7957358,92.85714286,0.216705075,101.9474241,41.9706288,39.22604957,104.9310823,287.098449,182.1673667,773.7933675,817.2475883,43.45422079,220.1803491,172.1515005,-48.02884864,100,10.64233117,1380.67427,24.3803425,1261.699078,2.413503661,11.26314519,0.112631452,1.112631452,111.2631452,70.9853144,76.6376053,84.6503854,76.240463,76.6376053,98.48760332,99.49586777,-0.206118427,64.94969648,-10.57654146,369.7668958,2.71109756,225.58881,-1576441.68,14597.82624,13655.14712,13695.72631,13676.82122,13667.36868,25.24273171,112.5469001,808.6482177,-124.9232582,0.923565974,0.381927053,1,13094.31806,12691.03513,13414.38824,12858.71949,12866.19506,12774.42295,13080.74872,13080.74872,0,92.85714286,-809758.9682
13774.49634,13806.26077,13617.56276,13633.25905,340046.6005,-1,13708.45555,13604.41093,13500.3663,13519.37573,12793.11471,12844.33272,12985.70877,12593.81807,13814.23063,13040.56683,13298.31512,31.55926864,34.57240786,414.1904087,85.71428571,-0.748483198,93.15954546,41.45557638,39.22604957,68.87323707,268.2589131,199.385676,626.6412093,841.2343549,214.5931456,206.498161,196.0144326,-10.48372845,100,10.24022074,1185.85013,23.45915429,1171.577715,3.252827895,9.526883367,0.095268834,1.095268834,109.5268834,70.72778819,75.22058475,78.37492254,72.99980098,75.22058475,85.13833087,94.54197806,-0.194702999,63.81723388,-11.2605061,356.833404,2.617374193,188.69801,-1859916.724,-97627.14295,13707.89473,13711.91177,13685.69419,13672.58541,24.86338385,126.0054536,761.7351315,-244.1999877,0.808961043,0.156340452,1,13166.17686,12702.74918,13510.20811,12985.70877,12908.84219,12778.15967,13237.11462,13237.11462,0,85.71428571,-1149805.569
13954.96219,13874.88969,13606.58938,13677.24446,300655.0035,1,13684.90682,13639.15974,13593.41266,13599.48159,12881.23889,12904.62026,13109.40374,12705.03776,13865.39089,13180.40529,13390.51988,32.2895105,34.96626808,509.3902977,100,-1.035100295,91.09577866,43.15392886,41.78265465,41.19630209,250.8810536,209.6847515,480.2920584,863.0131622,382.7211039,191.5304218,215.8704064,24.3399846,100,9.680166688,1035.73975,23.57509987,1156.522513,3.993250142,8.193168248,0.081931682,1.081931682,108.1931682,71.57696443,72.91538524,74.9245251,69.50589172,72.91538524,100,94.54197806,-0.182568702,60.68163293,-10.18506937,350.5096116,2.562720968,268.30031,-2002220.786,-179940.728,13778.42143,13740.73954,13719.57451,13708.992,24.67437243,138.7195058,689.2076405,-356.1607769,0.659745869,-0.064872035,1,13234.3192,12721.65634,13583.30604,13109.40374,12949.058,12782.63181,13362.20735,13362.20735,0,100,-849150.5652
13927.39836,14020.65038,13599.73158,13823.96783,304697.5546,1,13827.34455,13682.83937,13538.33418,13697.55027,13041.15231,13057.3043,13233.59906,12820.39036,13944.86066,13306.26828,13485.7951,33.33259055,34.92651668,595.703231,100,-0.245725613,96.20598796,48.51887824,46.89263113,31.21087865,248.6983498,217.4874712,379.9191034,923.8255921,543.9064887,182.5305238,240.0578764,57.52735257,100,8.861357487,992.681,24.5101225,1219.674452,4.659507056,7.736410332,0.077364103,1.077364103,107.7364103,74.25943912,69.6374956,72.5911552,66.4067941,69.6374956,100,95.04611029,-0.169639649,55.31202486,-10.20830178,355.5388393,2.571901524,420.9188,-1982275.027,-190909.8415,13842.93704,13810.19098,13814.78326,13817.07941,24.6645649,150.5880762,588.1790931,-477.4510452,0.49108505,-0.268719372,1,13312.93902,12746.19738,13688.63025,13233.59906,12992.8035,12787.8861,13464.74382,13464.74382,0,100,-544453.0106
13904.53236,14232.60667,13692.33367,14048.93611,327151.6893,1,14080.74374,13764.4837,13448.22366,13829.45026,13248.17252,13263.94709,13361.49901,12939.66049,14073.05072,13419.15369,13594.5067,34.75957059,34.63943522,674.514656,100,0.267279227,113.7138045,55.45989494,53.31031115,38.90081063,266.1134845,227.2126739,342.628421,1033.800257,691.1718361,182.5322163,273.2472446,90.71502826,100,7.93372367,1032.46316,26.05118334,1344.511138,5.260129004,7.931973308,0.079319733,1.079319733,107.9319733,77.72994747,69.21384367,70.58890817,71.72884519,69.21384367,100,100,-0.155709182,52.55351461,-9.480655733,368.7341365,2.624640995,540.273,-1877559.528,-144723.1981,13969.6022,13962.47017,13991.29215,14005.70314,24.79718084,161.2001992,445.9860076,-558.1177847,0.322262404,-0.441508972,1,13411.07196,12780.54843,13846.3861,13361.49901,13045.61013,12794.32921,13575.92513,13575.92513,0,100,-217301.3213
14237.06585,14485.93216,14040.94214,14312.10345,329428.0331,1,14403.92599,13899.10218,13394.27837,13997.92322,13476.80408,13505.65968,13494.69147,13063.96993,14250.93431,13522.4207,13721.25396,36.53352256,34.38366372,744.3022187,100,0.168627602,148.0601269,61.9267156,59.59489819,57.94602475,299.6452048,241.69918,359.840604,1178.846712,819.0061078,190.6307413,316.0059044,125.375163,100,7.259641017,1117.40736,28.67463803,1501.800118,5.780192629,8.468610056,0.084686101,1.084686101,108.4686101,80.9633578,72.84019556,70.56384494,80.38494739,72.84019556,100,100,-0.140545791,51.74425982,-8.866346528,374.1809853,2.6144374,444.99002,-1805503.784,-89745.1802,14269.0109,14263.43715,14279.65925,14287.7703,25.05564673,170.0570658,287.8349736,-495.5094147,0.172667236,-0.574392016,1,13531.2095,12828.16009,14050.41602,13494.69147,13120.31862,12803.94401,13599.73158,13599.73158,0,100,112126.7118
14667.37849,14725.47231,14444.04385,14567.0193,321458.1788,1,14730.59785,14085.85423,13441.11061,14193.49627,13699.15306,13780.02869,13632.22823,13194.93703,14462.57562,13621.54744,13864.23101,38.52866906,34.74365451,802.4780826,100,-0.3566064,182.8878837,66.9346861,64.46557355,78.92520659,340.3556883,261.4304817,403.9068462,1331.20562,927.298774,202.9189968,365.1885229,162.2695261,100,6.690926264,1209.60572,30.96791297,1634.068831,6.19779093,9.05568816,0.090556882,1.090556882,109.0556882,83.46734305,79.34611608,73.80005177,85.92455565,79.34611608,100,100,-0.123994338,53.11791888,-8.379823281,376.9801192,2.587901557,413.36886,-1846027.589,-71989.45783,14600.97849,14584.75808,14578.84515,14575.88869,25.46500352,176.8654986,165.8072056,-247.5311097,0.054680086,-0.667384237,1,13669.31747,12892.45912,14276.84137,13632.22823,13843.66896,13063.87525,13692.33367,13692.33367,0,100,433584.8906
